[INFO] - 2021-07-29 07:43:23,976 - 20 tickers got from the DB
[INFO] - 2021-07-29 07:44:08,241 - 20 tickers got from the DB
[INFO] - 2021-07-29 07:44:09,139 - The database is cleaned
[INFO] - 2021-07-29 07:44:09,213 - 0 tickers got from the DB
[INFO] - 2021-07-29 07:44:09,213 - All tickers are deleted from the DB
[INFO] - 2021-07-29 07:44:09,304 - 12 tickers inserted in DB
[INFO] - 2021-07-29 07:44:09,305 - 12 tickers got from the DB
[INFO] - 2021-07-29 07:44:09,305 - Reading data from Yahoo Finance
[INFO] - 2021-07-29 07:44:11,718 - YFinance data load call. Start date: 2016-08-24. Finish date: 2021-07-29
[INFO] - 2021-07-29 07:44:11,720 - Inserting data into the DB
